id	tweet	subtask_a
20948	@USER en güzel uyuyan insan ödülü jeon jungkook'a gidiyor...	NOT
10134	@USER Mekanı cennet olsun, saygılar sayın avukatımız,iyi günler dilerim	NOT
23457	Kızlar aranızda kas yığını beylere düşenler olduğunu görüyorum yapmayın allah aşkına	NOT
18401	Biraz ders çalışayım. Tembellik ve uyku düşmanımızdır.	NOT
17525	@USER Trezeguet yerine El Sharawy daha iyi olmaz mı	NOT
11996	@USER Bence de olması gerekiyor. Hatta meslek lisesine ön hazırlık olarak ortaokulda bile çıraklık tarzında eğitimler verilip temeli hazırlanmalıdır. Lise çağına gelen bir çocuk için bir çok konuda vakit geçmiş oluyor. O nedenle de meslek liselerinde istenilen performans yakalanamıyor.	NOT
38452	Mutlu gorunumlu ama daima mutsuz olanlar burdami? Mutlu olun olmaya calisin sizi mutlu edecek seyler yapin cok dusunurseniz mutsuz olursunuz hayati akisina birakin zaten olacak birsey olacaksa birgun elbet olur siz yinede mutlu olun.	NOT
12615	100 liraya tras oldum arkadaşım diyo ki ne kesiyo o kurban mı kesiyo agshsn	NOT
13520	@USER @USER @USER Reis bu ülkenin Devlet Başkanı ve Ak parti genel başkanı saygı duyacaksınız hergele	OFF
45562	Var olan, ancak düşünüldüğü kadarıyla vardır. Hannah Arendt	NOT
20724	Şu kodumun sitesine günlerce giremeyecek kadar meşgul olduğumda bütün sosyal medya hesaplarımı kapatıcam amk.	OFF
24529	buralara değil yaz günü, kışın bile kar yağmıyor	NOT
13853	prodüktivite arz cazibesi tolerans kolacı tomruklama #idtaaCom500TLBonus	NOT
15493	@USER Muavinlerini ara bi cikar bozuk olur öyle bide tecavuz olayı oldu ya ondan biraz millet uzak duruyo ama metronun yolcudan yana sikintisi yok bu arada zaten.	NOT
13276	Yalnız bunlar harabe bir yerdeler ne işleri var orada çözemedim neresi orası #SiyahBeyazAşk #AsFer	NOT
44185	Bundan sonra katiyyen arkadaşlarıma "dışarı çıkalım" cümlesini kurmayacağım	NOT
10647	Araci ekurisinin en kotu tayi bile olsa Bursa da bu gruplara geçilmez    İsmail Dinar hep kendi calistirmis ve biniyor   Count on me kazanir kisacasi   Galoplari da muthis	NOT
37568	@USER 200 bin euro ya deportivo da oynuyordu , şimdi 2,5 milyon Euro alıyor	NOT
15984	Âşk odu evvel düşer maşuka, ândan âşıka,   Şem’i gör kim, yanmadan yandırmadı pervâneyi   -Gaybi-      (Aşk ateşi evvela düşer mumu yakar sonra pervanerler ondan yanar; yani gönlüne ateş düşüp yanmak nasip olan ey falanca, bil ki seni yakan senden evvel yandı)	NOT
20290	@USER Bundan 20 yıl sonrayaptıklarından cok yapmadıgın şeylerden pişmanlık duyacaksın	NOT
46099	...   Âşk ile ölmeden toprak olanlar cânım Yûnus (ks) gibi cânında Canâne bulanlardır..      "Eşkere kıldum bugün pinhânumı   Cân virüben buldum ol Cânânumı"	NOT
43375	@USER cıkss birkaç kere yapman lazım. aslında bi tane merhem vardı adını hatırlamıyorum o hemen geçiriyo ya	NOT
44928	Affetmek ve unutmak iyi insanların intikamıdır.	NOT
26789	@USER @USER @USER Elestirebilirsin beğenmeye bilirsin siyasi görüşün sana ama dikkat et akp değil Ak parti dir	NOT
20741	@USER Aşkta öyle bişey olsa gerek	NOT
26141	Nasıl o*** çocuklarıyla aynı devre denk geldik	OFF
33559	iki güzel söze yapılan hatayı unutma kerizliğimden nasıl kurtulabilirim	NOT
21134	@USER Bunu yapan birine 200 tl vetirim	NOT
10906	Benden başka herkese iyi geceler	NOT
35942	@USER @USER Yakın yanlış sınırın öbür tarafı. Pasaportla geçiliyor😂😂😂	NOT
45435	2 yıl önce hayatımın aşkını bulmuşta kaybetmiş gibiyim	NOT
